"Month","Year","Consumer Confidence Index TX","Consumer Confidence West South Central","Consumer Confidence Index US","PCE Deflator","Consumer Price Index TX","Consumer Price Index U.S.","CPI U.S. Ex Food and Energy","Nonfarm Employment TX","Nonfarm Employment U.S.","Unemployment TX","Unemployment U.S.","Single Family Building Permits TX","Multi Family Building Permits TX","Existing Single Family Home Sales TX","Existing Single Family Home Price TX","Non Residential Building Construction","Total Sales Tax Collections Retail TX","Total Sales Tax Collections TX","Retail Gasoline Price TX","Retail Diesel Price TX","Nonfarm Employment Illinois","Nonfarm Employment Florida","Nonfarm Employment New York","Nonfarm Employment Texas","Nonfarm Employment California","Gross Value Crude Oil Production","Gross Value Natural Gas Production","Motor Fuel Taxed Gasoline","Motor Fuel Taxed Diesel"
"1","2011",,"74.4","64.8","102.685","199.302","220.223","222.177","10.452","130.882","8","9.1","4215","928","11228","138000","997.7","862.5","1835.3","2.9","3.3","5647.1","7213.6","8611.4","10451.5","14366.8","$2972.84","$3065.63","962.7","314.8"
"2","2011",,"80.8","72","102.966","200.713","221.309","223.011","10.456","131.07","7.9","9","4237","2248","12603","144000","965.9","846.4","1756.1","3.1","3.5","5650","7210.5","8615.8","10455.9","14371.7","$2493.72","$2700.34","965","304.3"
"3","2011",,"61.1","63.8","103.356","203.057","223.467","223.69","10.494","131.295","7.8","9","6355","2044","18237","142500","1309","808.4","1611.4","3.4","3.8","5659.9","7216.6","8626.9","10493.9","14371.3","$3473.44","$3056.62","884.4","284.7"
"4","2011",,"69.506","66","103.808","204.962","224.906","224.118","10.534","131.641","7.8","9.1","5688","2578","18727","144500","1614.9","868.3","1874.2","3.7","4","5674.4","7251.3","8660.9","10534.1","14395.2","$3692.14","$3266.78","1039.3","336.7"
"5","2011",,"78.548","61.7","104.144","205.683","225.964","224.534","10.537","131.714","7.8","9","5679","1256","20254","149000","1225.4","947","1958.6","3.8","4","5665.7","7239.6","8646.6","10537","14397.9","$3639.07","$3500.83","1006.6","321.3"
"6","2011",,"75.5","57.6","104.179","204.94","225.722","224.891","10.559","131.949","7.8","9.1","5910","3532","22671","152000","1720","836","1729.9","3.5","3.9","5670.5","7232.1","8649","10559.2","14391.7","$3418.22","$3364.03","1026.9","322.7"
"7","2011",,"78.9","59.2","104.38","205.045","225.922","225.164","10.593","132.019","7.8","9","5149","3206","20221","150368","976.3","844.7","1867.8","3.5","3.9","5679.3","7258.7","8684.1","10592.5","14442.2","$3617.08","$3565.15","1013.5","335.5"
"8","2011",,"71.6","45.2","104.618","205.811","226.545","225.874","10.609","132.126","7.7","9","5976","4362","21905","151000","1716.1","929.8","1982.9","3.5","3.8","5687.4","7259.2","8686.5","10608.7","14452.6","$3331.56","$3478.13","1016.9","306.2"
"9","2011",,"69.3","46.4","104.787","206.004","226.889","226.289","10.625","132.372","7.6","9","5185","1830","18483","147408","937.6","811.3","1761.2","3.4","3.8","5689.3","7274","8692.9","10624.7","14484.2","$3323.95","$3239.87","1036.9","341.6"
"10","2011",,"50.4","40.9","104.851","205.111","226.421","226.743","10.628","132.574","7.5","8.8","4744","3477","16396","145000","870.3","815.6","1881.5","3.3","3.7","5688.7","7278","8690","10628.4","14493.5","$3606.69","$3265.77","988.5","327.3"
