Month,Year,Consumer Confidence Index TX,Consumer Confidence West South Central,Consumer Confidence Index US,PCE Deflator,Consumer Price Index TX,Consumer Price Index U.S.,CPI U.S. Ex Food and Energy,Nonfarm Employment TX,Nonfarm Employment U.S.,Unemployment TX,Unemployment U.S.,Single Family Building Permits TX,Multi Family Building Permits TX,Existing Single Family Home Sales TX,Existing Single Family Home Price TX,Non Residential Building Construction,Total Sales Tax Collections Retail TX,Total Sales Tax Collections TX,Retail Gasoline Price TX,Retail Diesel Price TX,Nonfarm Employment Illinois,Nonfarm Employment Florida,Nonfarm Employment New York,Nonfarm Employment Texas,Nonfarm Employment California,Gross Value Crude Oil Production,Gross Value Natural Gas Production,Motor Fuel Taxed Gasoline,Motor Fuel Taxed Diesel
8,2009,,75,54.5,100.288,196.4,215.834,219.596,10.226000000000001,130.47900000000001,8.4,9.6,6057,1314,20634,148703,1262.5,885,1755.9,2.5,2.6,5607.3,7173.8,8530.9,10226.200000000001,14272.5,$1966.85,$2259.07,1025.9,297.6
9,2009,,82.5,53.4,100.45399999999999,196.804,215.96899999999999,220.137,10.223000000000001,130.26,8.4,9.800000000000001,5549,1603,19374,146355,1601.9,731.7,1476.2,2.4,2.5,5599.5,7155,8491.2000000000007,10223.299999999999,14224.3,$1873.04,$1875.41,1021.0,292.0
10,2009,,72.900000000000006,48.7,100.764,196.80199999999999,216.17699999999999,220.73099999999999,10.215999999999999,130.06,8.4,10,4926,200,20272,141660,1794.3,718,1523.2,2.4,2.6,5589.7,7150.5,8481.4,10215.9,14256.8,$2129.31,$2462.08,961.1,281.8
11,2009,,64.900000000000006,50.6,100.997,196.851,216.33,220.38399999999999,10.214,130.053,8.300000000000001,9.9,4473,1090,18710,141268,1111.5,890.2,1701.6,2.5,2.7,5592.6,7145.4,8482.9,10214.4,14247.1,$2148.25,$2690.11,991.0,288.4
12,2009,,72.099999999999994,53.6,101.05200000000001,196.267,215.94900000000001,220.02500000000001,10.208,129.774,8.300000000000001,9.9,5057,989,16914,143225,1078.5999999999999,920.2,1658,2.5,2.7,5583.7,7128,8483.7999999999993,10207.700000000001,14220.1,$2079.93,$3067.10,963.3,267.4
1,2010,,72.3,56.5,101.23399999999999,196.846,216.68700000000001,220.08600000000001,10.233000000000001,129.80199999999999,8.300000000000001,9.800000000000001,4893,1115,10797,135888,1387.4,817,1661.4,2.6,2.8,5584.3,7129.8,8487.7999999999993,10232.9,14200.1,$2202.61,$3715.74,992.8,287.6
2,2010,,74.099999999999994,46.4,101.248,197.28399999999999,216.74100000000001,220.602,10.242000000000001,129.733,8.300000000000001,9.800000000000001,5782,411,13781,139997,798.5,804.2,1601.2,2.5,2.7,5587.3,7129.3,8482.5,10241.5,14186.5,$1979.19,$3177.12,945.5,289.6
3,2010,,74.900000000000006,52.3,101.363,197.59200000000001,217.631,221.059,10.272,129.89599999999999,8.300000000000001,9.9,7837,1596,20465,142833,1035.9000000000001,757.3,1466,2.6,2.9,5586.3,7136.2,8504,10271.5,14193.2,$2403.72,$3138.79,913.6,273.8
4,2010,,70.7,57.7,101.349,198.185,218.00899999999999,221.166,10.289,130.13900000000001,8.199999999999999,9.9,6557,1659,22893,145475,1406.9,823,1682.7,2.7,3,5595,7155,8535.4,10288.6,14279.2,$2440.12,$2643.92,1032.9,327.8
5,2010,,76.48,62.66,101.392,198.148,218.178,221.19300000000001,10.351000000000001,130.661,8.1,9.6,5726,1533,23812,146844,1425.1,905.4,1781.4,2.7,3,5618,7198.3,8579,10350.799999999999,14329.2,$2181.01,$2852.79,1002.8,315.8
6,2010,,66.400000000000006,54.3,101.447,198.322,217.965,221.26499999999999,10.353,130.52799999999999,8,9.4,5977,1826,22864,150953,1374.1,802.1,1614.6,2.6,2.9,5609.8,7185.6,8577.2000000000007,10352.700000000001,14318.8,$2084.43,$2732.36,1060.4,313.5
7,2010,,66,51,101.569,197.501,218.011,221.25800000000001,10.343,130.458,8,9.4,5007,2130,17336,153007,1020.7,816,1692.6,2.6,2.9,5600.1,7189.4,8567.1,10343,14300.4,$2236.90,$3027.87,1028.3,319.0
8,2010,,68.599999999999994,53.2,101.71299999999999,197.834,218.31200000000001,221.55099999999999,10.353,130.42400000000001,8,9.5,5217,1956,17831,151735,1103.5,847.7,1771.4,2.6,2.9,5616.2,7188.6,8542.4,10352.5,14285.2,$2322.32,$3019.76,1034.2,311.4
9,2010,,68,48.6,101.807,198.58099999999999,218.43899999999999,221.90700000000001,10.349,130.37200000000001,8,9.5,4257,2215,16050,145572,2795.4,769.6,1576.6,2.5,2.9,5617.6,7168.2,8532,10348.700000000001,14269.9,$2250.62,$2543.59,1053.6,310.2
10,2010,,71.8,49.9,102.045,198.614,218.71100000000001,222.07900000000001,10.407,130.62899999999999,8,9.4,3728,1025,14990,143518,918.6,765.7,1623,2.6,3,5635.5,7194.8,8563.7000000000007,10407.1,14332.4,$2555.35,$2736.33,1001.6,318.5
11,2010,,82.1,57.8,102.211,198.172,218.803,222.077,10.412000000000001,130.75200000000001,8,9.800000000000001,4017,2204,14398,145083,600.9,931.8,1849.7,2.7,3.1,5640,7196.2,8576.7999999999993,10411.799999999999,14334.6,$2604.86,$2523.01,1031.7,322.2
12,2010,,81.099999999999994,63.4,102.455,197.99600000000001,219.179,221.79499999999999,10.438000000000001,130.84,8,9.300000000000001,4193,1348,16423,149485,2343.3000000000002,967,1813.6,2.8,3.2,5643.7,7200.3,8583.5,10437.9,14354.9,$2923.62,$3128.90,1044.4,308.8
1,2011,,74.400000000000006,64.8,102.685,199.30199999999999,220.22300000000001,222.17699999999999,10.452,130.88200000000001,8,9.1,4215,928,11228,138000,997.7,862.5,1835.3,2.9,3.3,5647.1,7213.6,8611.4,10451.5,14366.8,$2972.84,$3065.63,962.7,314.8
